level,check,cdmTableName,cdmFieldName,num_violated_rows,pct_violated_rows,num_denominator_rows,fkDomain,fkTableName,fkFieldName,plausibleGender,conceptId,plausibleTemporalAfterTableName,plausibleTemporalAfterFieldName,plausibleUnitConceptIds,plausibleValueHigh,plausibleValueLow,standardConceptFieldName
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,FACT_RELATIONSHIP,DOMAIN_CONCEPT_ID_2,0,0.0,0,,,,,,,,,,,
FIELD LEVEL check,WITHIN_VISIT_DATES - find events that occur one week before the corresponding visit_start_date or one week after the corresponding visit_end_date,MEASUREMENT,MEASUREMENT_DATE,0,0.0,507498,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,DRUG_EXPOSURE,DRUG_CONCEPT_ID,1639,6.984020918075841e-06,234678564,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,OBSERVATION,OBSERVATION_TYPE_CONCEPT_ID,0,0.0,129858319,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,MEASUREMENT,MEASUREMENT_CONCEPT_ID,0,0.0,150744738,,,,,,,,,,,
FIELD LEVEL check,WITHIN_VISIT_DATES - find events that occur one week before the corresponding visit_start_date or one week after the corresponding visit_end_date,CONDITION_OCCURRENCE,CONDITION_START_DATE,8,3.8560683912289865e-06,2074652,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,VISIT_OCCURRENCE,DISCHARGE_TO_CONCEPT_ID,523705,0.049361004010390126,10609691,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,MEASUREMENT,MEASUREMENT_TYPE_CONCEPT_ID,0,0.0,150744738,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,OBSERVATION_PERIOD,PERIOD_TYPE_CONCEPT_ID,0,0.0,1151420,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,VISIT_DETAIL,ADMITTING_SOURCE_CONCEPT_ID,0,0.0,597989,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,CONDITION_ERA,CONDITION_CONCEPT_ID,0,0.0,27354147,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,CONDITION_OCCURRENCE,CONDITION_STATUS_CONCEPT_ID,0,0.0,49546839,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,PROCEDURE_OCCURRENCE,MODIFIER_CONCEPT_ID,0,0.0,35540883,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,VISIT_DETAIL,VISIT_DETAIL_CONCEPT_ID,0,0.0,597989,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,VISIT_DETAIL,VISIT_DETAIL_TYPE_CONCEPT_ID,0,0.0,597989,,,,,,,,,,,
CONCEPT_RECORD_COMPLETENESS,number of 0s / total number of records ,PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,0,0.0,35540883,,,,,,,,,,,
FIELD LEVEL check,WITHIN_VISIT_DATES - find events that occur one week before the corresponding visit_start_date or one week after the corresponding visit_end_date,NOTE,NOTE_DATE,0,0.0,0,,,,,,,,,,,
CONCEPT LEVEL check,get number of records and the proportion to total number of eligible records with datetimes that do not occur on or after their corresponding datetimes,MEASUREMENT,MEASUREMENT_CONCEPT_ID,0,0.0,0,,,,,40766362,,,NA,,,
CONCEPT LEVEL check,get number of records and the proportion to total number of eligible records with datetimes that do not occur on or after their corresponding datetimes,MEASUREMENT,MEASUREMENT_CONCEPT_ID,0,0.0,0,,,,,3002516,,,NA,,,
